net.profit...total.assets ,current.assets...short.term.liabilities ,EBIT...total.assets ,X.gross.profit...extraordinary.items...financial.expenses....total.assets ,gross.profit...short.term.liabilities,X.gross.profit...interest....total.assets ,X.gross.profit...depreciation....total.liabilities ,gross.profit...total.assets ,gross.profit..in.3.years....total.assets ,X.net.profit...depreciation....total.liabilities ,current.assets...total.liabilities ,class
0.20055,2.0472,0.24976,0.24976,0.6598,0.24976,0.73378,0.24976,0.47706,0.60411,2.042,0
0.081483,2.4928,0.092704,0.092704,0.30163,0.092704,0.39803,0.092704,0.17193,0.36152,2.4928,0
0.18732,1.4063,0.18732,0.18732,0.33147,0.18732,0.32211,0.18732,0.18732,0.32211,1.2959,0
0.00902,1.1263,0.014434,0.043162,0.033921,0.014434,0.082138,0.014434,0.000222,0.073572,0.75832,0
-0.027117,2.0754,-0.0243,-0.0243,-0.21798,-0.0243,0.48347,-0.0243,-0.076857,0.45821,2.0754,0
0.26669,3.0243,0.33207,0.33207,1.0993,0.33207,0.99444,0.33207,0.51586,0.80759,2.6106,0
0.067731,2.9576,0.078063,0.078063,1.8736,0.078063,0.39415,0.078063,0.24604,0.3422,0.61971,0
-0.029182,7.5746,-0.034653,-0.034653,-0.50333,-0.034653,0.015671,-0.034653,0.016014,0.041561,2.4679,0
-0.033801,0.8215,-0.033801,-0.033801,-0.029291,-0.033801,-0.024924,-0.033801,-0.10413,-0.024924,0.8215,0
0.27053,2.5669,0.33619,0.33619,1.1239,0.33619,1.2521,0.33619,0.9098,1.0326,2.5669,0
0.028084,3.0128,0.039729,0.039729,0.185,0.039729,0.34458,0.039729,0.03447,0.29652,2.6701,0
-0.30505,0.71426,-0.30505,-0.30505,-0.29829,-0.30505,-0.22523,-0.30505,-0.30505,-0.22523,0.58328,0
0.079997,2.4739,0.069715,0.069715,0.31987,0.069715,0.49189,0.069715,0.2369,0.53479,2.2497,0
0.26345,5.3277,0.32142,0.32142,2.2448,0.32142,2.4773,0.32142,0.69419,2.0724,5.3277,0
-0.054623,0.94263,-0.054623,-0.054623,-0.11637,-0.054623,-0.017279,-0.054623,-0.054623,-0.017279,0.4765,0
