BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
1,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
0,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629
1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579
0,3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47045214,0,14,29.39354338
0,3600,52337,63989,HomeImp,Office,20,0,0,204.2724988,0,20,20.47091551
1,3900,29896,45960,HomeImp,Other,11,0,0,146.1232422,0,14,24.47888119
0,3900,102143,118742,HomeImp,Office,2,0,0,85.27736558,0,13,29.34392109
1,4000,26572,31960,HomeImp,Office,11,0,0,117.7951039,0,8,41.28649195
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505037,1,31,22.27817437
0,4200,50216,58541,HomeImp,Office,19,0,0,209.8713022,0,19,20.20803267
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.932869,0,31,34.18137652
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.3900107,0,30,23.58107924
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483
0,4700,71855,88566,HomeImp,Other,2,2,0,283.9595381,0,5,36.47547328
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.2483316,0,27,29.20902258
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284
1,4900,25597,23031,HomeImp,Other,5,0,0,101.7467664,0,8,33.24315698
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356132,0,30,22.79542355
0,5000,66839,87168,HomeImp,Other,4,0,0,122.5972226,0,15,40.61677935
1,5000,46696,85202,HomeImp,Other,2,1,2,148.3406455,0,14,46.489874
0,5000,66435,82819,HomeImp,Other,2,0,0,125.1306256,0,14,42.18353867
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.6630402,0,28,25.44475915
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.8598021,0,36,25.65074122
0,5100,74071,97064,DebtCon,Other,0,0,0,121.0759726,2,9,36.40172955
0,5100,62702,79784,HomeImp,Other,2,0,0,108.0725908,0,15,43.29013982
0,5300,75958,91703,DebtCon,Other,0,0,0,124.1821788,1,10,34.59906019
