caseId,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,4.9,3,1.4,0.2,Iris-setosa
2,4.6,3.1,1.5,0.2,Iris-setosa
3,5,3.6,1.4,0.2,Iris-setosa
4,4.6,3.4,1.4,0.3,Iris-setosa
5,4.9,3.1,1.5,0.1,Iris-setosa
6,4.8,3.4,1.6,0.2,Iris-setosa
7,4.3,3,1.1,0.1,Iris-setosa
8,5.8,4,1.2,0.2,Iris-setosa
9,5.4,3.9,1.3,0.4,Iris-setosa
10,5.1,3.8,1.5,0.3,Iris-setosa
11,5.1,3.7,1.5,0.4,Iris-setosa
12,5.1,3.3,1.7,0.5,Iris-setosa
13,4.8,3.4,1.9,0.2,Iris-setosa
14,5,3.4,1.6,0.4,Iris-setosa
15,4.7,3.2,1.6,0.2,Iris-setosa
16,5.4,3.4,1.5,0.4,Iris-setosa
17,5.5,4.2,1.4,0.2,Iris-setosa
18,4.9,3.1,1.5,0.1,Iris-setosa
19,5.5,3.5,1.3,0.2,Iris-setosa
20,5.1,3.4,1.5,0.2,Iris-setosa
21,4.5,2.3,1.3,0.3,Iris-setosa
22,5,3.5,1.6,0.6,Iris-setosa
23,5.1,3.8,1.9,0.4,Iris-setosa
24,5.1,3.8,1.6,0.2,Iris-setosa
25,5,3.3,1.4,0.2,Iris-setosa
26,6.4,3.2,4.5,1.5,Iris-versicolor
27,5.5,2.3,4,1.3,Iris-versicolor
28,6.5,2.8,4.6,1.5,Iris-versicolor
29,6.3,3.3,4.7,1.6,Iris-versicolor
30,5.2,2.7,3.9,1.4,Iris-versicolor
31,5.9,3,4.2,1.5,Iris-versicolor
32,6.1,2.9,4.7,1.4,Iris-versicolor
33,5.6,2.9,3.6,1.3,Iris-versicolor
34,5.6,3,4.5,1.5,Iris-versicolor
35,5.6,2.5,3.9,1.1,Iris-versicolor
36,6.1,2.8,4,1.3,Iris-versicolor
37,6.1,2.8,4.7,1.2,Iris-versicolor
38,6.4,2.9,4.3,1.3,Iris-versicolor
39,6.8,2.8,4.8,1.4,Iris-versicolor
40,5.7,2.6,3.5,1,Iris-versicolor
41,5.5,2.4,3.7,1,Iris-versicolor
42,6,2.7,5.1,1.6,Iris-versicolor
43,5.4,3,4.5,1.5,Iris-versicolor
44,6.7,3.1,4.7,1.5,Iris-versicolor
45,5.5,2.5,4,1.3,Iris-versicolor
46,6.1,3,4.6,1.4,Iris-versicolor
47,5,2.3,3.3,1,Iris-versicolor
48,5.6,2.7,4.2,1.3,Iris-versicolor
49,5.7,2.9,4.2,1.3,Iris-versicolor
50,5.7,2.8,4.1,1.3,Iris-versicolor
